Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeWin,home_avg_for,home_avg_against,home_winrate,away_avg_for,away_avg_against,away_winrate
2022-10-15,Leicester,Crystal Palace,0,0,D,0,1.6382978723404256,1.7659574468085106,0.3191489361702128,1.3043478260869565,1.2608695652173914,0.2826086956521739
2022-10-15,Fulham,Bournemouth,2,2,D,0,1.5555555555555556,2.0,0.3333333333333333,0.8888888888888888,2.2222222222222223,0.3333333333333333
2022-10-15,Wolves,Nott'm Forest,1,0,H,1,0.8723404255319149,1.1702127659574468,0.3404255319148936,0.7777777777777778,2.4444444444444446,0.1111111111111111
2022-10-15,Tottenham,Everton,2,0,H,1,1.8936170212765957,1.0638297872340425,0.5957446808510638,1.0851063829787233,1.5957446808510638,0.2765957446808511
2022-10-16,Aston Villa,Chelsea,0,2,A,0,1.2553191489361701,1.3829787234042554,0.3191489361702128,1.934782608695652,0.9347826086956522,0.5652173913043478
2022-10-16,Leeds,Arsenal,0,1,A,0,1.1521739130434783,1.9782608695652173,0.2391304347826087,1.7872340425531914,1.2340425531914894,0.6382978723404256
2022-10-16,Man United,Newcastle,0,0,D,0,1.5217391304347827,1.565217391304348,0.45652173913043476,1.297872340425532,1.5106382978723405,0.3404255319148936
2022-10-16,Southampton,West Ham,1,1,D,0,1.0851063829787233,1.7872340425531914,0.23404255319148937,1.446808510638298,1.297872340425532,0.40425531914893614
2022-10-16,Liverpool,Man City,1,0,H,1,2.4782608695652173,0.8260869565217391,0.6521739130434783,2.8085106382978724,0.7446808510638298,0.7659574468085106
2022-10-18,Brighton,Nott'm Forest,0,0,D,0,1.1914893617021276,1.1702127659574468,0.3404255319148936,0.7,2.3,0.1
2022-10-18,Crystal Palace,Wolves,2,1,H,1,1.2765957446808511,1.2340425531914894,0.2765957446808511,0.875,1.1458333333333333,0.3541666666666667
2022-10-19,Bournemouth,Southampton,0,1,A,0,1.0,2.2,0.3,1.0833333333333333,1.7708333333333333,0.22916666666666666
2022-10-19,Brentford,Chelsea,0,0,D,0,1.375,1.5208333333333333,0.3333333333333333,1.9361702127659575,0.9148936170212766,0.574468085106383
